Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-49-4512-11A-01R-1858-07	0.033044047287806	0	0.0848034750417975	0.0324847921149269	0	0.210202743786915	0.00811597780677957	0.00948635117308504	0.000192301835492588	0.00255463075680184	0	0.0325935714435373	0.00316843260235179	0.0471133403275545	0.0810925457663799	0.169825439506585	0.139737302062079	0	0.106908164235415	0	0.0157283721889247	0.0229485120635671	0.018	0.231501809903214	0.98281512031784
TCGA-49-6742-11A-01R-1858-07	0.0878550053952491	0	0.0907274736477641	0.043330500059253	0	0.0855611081928414	0.000915313697709785	0.00423970876383565	0	0	0	0.0367732269093367	0.00858439255143864	0.195176976782836	0.0122684500601341	0.260038202385496	0.0196712409069959	0	0.122924632639986	0	0	0.031933768007123	0.01	0.275111273292152	0.973225999044699
TCGA-55-6982-11A-01R-1949-07	0.0295883075823558	0	0.0272339005909171	0.126548178191844	0	0.284635843608774	0	0	0	0	0.0569468983088139	0	0.0356885731330357	0.117626047823496	0.0750934287063013	0.118135255011733	0.0233094355974498	0	0.0904114269178381	0	0.00267455341115667	0.0121081511162853	0.022	0.213903427752922	0.997875008932988
TCGA-49-6745-11A-01R-1858-07	0	0.00276907100125342	0.013834937278253	0.10195049167423	0	0.151801166292097	0.00834074420349407	0.036133653017811	0	0	0.037914781424477	0.00910922254272354	0.0187609819757655	0.053183220685698	0.0821378938906891	0.21408825845235	0.0811166613433251	0	0.141132261405384	0	0.0163656000132647	0.031361054799184	0	0.397224951820004	0.916936877530634
TCGA-55-6968-11A-01R-1949-07	0.0564836974452934	0.0252458035370169	0.0929209646903236	0.111103058101312	0	0.0462254627578886	0	0.0123509592795009	0.0741905376125204	0	0	0.0394729472013891	0.0551915460503837	0.201855760946866	0.0201176572986715	0.120012716215379	0.013869640107953	0	0.105141978906296	0	0.00209745209224619	0.0237198177569595	0.002	0.342518777150091	0.940899272136944
TCGA-44-6778-11A-01R-1858-07	0.0469374427436967	0	0.00574214581412036	0.0363366646111554	0	0.33123436016016	0	0.0280622067219744	0	0	0.0491249240543286	0	0.0381202859775805	0.0626683988352955	0.043704990080184	0.099509933673721	0.00683674846678346	0.0257478668588306	0	0.131065501336444	0	0.0949085306657262	0.048	0.155358591361143	1.02621833124112
TCGA-91-6828-11A-01R-1858-07	0.0056597775032001	0	0.0196760593337798	0.0762562637823808	0	0.238393797557113	0	0	0	0	0.110733178615268	0	0.0526301187098078	0.159223415385652	0.0232565002922795	0.0988138172576111	0.000131601306666431	0.0503092390899386	0.0352953614785467	0	0.0172543715048722	0.112366498182884	0.039	0.162718712045	1.02310323286048
TCGA-50-5935-11A-01R-1858-07	0.015214136504177	0	0.00868754731928804	0.101364334003069	0	0.212659026178562	0.00548574813749636	0	0	0	0.0668916631573169	0	0.0504302579447315	0.148827726057658	0.0733358115752062	0.16962658008773	0.0381703583412177	0	0.0991209141909728	0	0.00147052339376897	0.00871537310880534	0.016	0.237403457247177	0.986127748830957
TCGA-44-2661-11A-01R-1758-07	0.10677976742496	0	0.0414260315811851	0.0789169599161711	0	0.20522558853982	0	0.0191652262199246	0.0305847983450533	0	0	0.0272317435688526	0.0172213584390872	0.107151927175953	0.0331858239056345	0.183566168755962	0.0322192272677636	0	0.0941916367599787	0	0.00215337308355099	0.0209803690161026	0.004	0.304100800468038	0.956433234072568
TCGA-55-6979-11A-01R-1949-07	0.101566078484433	0	0.0574996002476032	0.0645994436671266	0	0.181393038131218	0	0.0844252839071086	0.0121013732769935	0	0	0.0172679918968727	0.0068080344092701	0.169306440127309	0.0655996638243322	0.139009627254656	0.0197581594233613	0.00170646015391646	0.0291675147196628	0	0.022207370115703	0.0275839203604335	0.003	0.334985620665347	0.945024514088294
TCGA-91-6829-11A-01R-1858-07	0.047900558110113	0	0.0320305722942824	0.062502940618261	0	0.0356285066479754	0	0.0047269598852502	0.0391548435330211	0	0	0.0130319903366869	0.0346805605197957	0.386470944782109	0.00886467398404794	0.115807013582552	0.0771324749014429	0.0114606636630835	0.0864135674544363	0	0.00974974960628564	0.0344439800806565	0.003	0.333172146327835	0.95586486673206
TCGA-55-6986-11A-01R-1949-07	0.0400607626707598	0	0.0171772168416306	0.0765224799996832	0	0.273809392029124	0	0.0230244394123685	0	0	0.0323880692061553	0	0.0228365574382108	0.112826070051081	0.0327369027626819	0.182039980417788	0.00712026615515948	0.0365425054906263	0.042961084166233	0	0.0709606397247881	0.02899363363371	0.034	0.174763940189055	1.01106277541795
TCGA-55-6983-11A-01R-1949-07	0.0176278638961963	0	0.0238830601030249	0.109443104828802	0	0.193043522464319	0.00555751237231942	0	0.0208426456270276	0	0.0374937923631796	0	0.00669375381511465	0.222894324086503	0.054955629879468	0.200759247805263	0.0191611025084088	0	0.0553438735561873	0	0	0.0323005666941866	0.028	0.194597334502673	1.00995256273509
TCGA-44-6148-11A-01R-1858-07	0.129915628579495	0	0.0627451045500085	0.0640632557346412	0	0.26119817238046	0	0	0	0	0.0748939109993272	0	0.0471123716419891	0.0615577772442556	0.0149634473396192	0.109555996005428	0.013774165362344	0.016757735901426	0.0998838914718997	0	0	0.0435785427891063	0.004	0.301043906271227	0.958076135492391
TCGA-55-6984-11A-01R-1949-07	0	0	0.00715686564339764	0.0765006978215839	0	0.106740263580841	0	0.0126636542495261	0	0	0.00211135628961529	0.00717718095708519	0.0241376075424276	0.127521750620799	0.0185662020905374	0.363246295218434	0.0276789680523909	0.0630415634198199	0.081978889671754	0	0.0742885881150686	0.00719011672671932	0.019	0.225736271995619	0.996600360382411
TCGA-38-4632-11A-01R-1755-07	0.0246251065862681	0	0.0474604102815826	0.0791761035150197	0	0.161825661280611	0.0377517206967138	0	0	0	0.0564748912023254	0	0.0220007890178392	0.106860468085402	0.0350419292596895	0.234278981948088	0.0310055778752722	0.0143784312369454	0.0886300025583771	0	0.0300733992648691	0.0304165271909967	0.022	0.217301220082313	0.989396973432015
TCGA-44-2668-11A-01R-1758-07	0.0459204453568309	0	0.0443614237049367	0.0657172409168216	0	0.0847460850516648	0.0300069420239496	0	0.0172733129415306	0	0.0408375556625349	0	0.06255802082926	0.245208154913261	0.00581501493290938	0.169133901966434	0.0201476469301651	0.00856045068489956	0.083011648682183	0	0	0.0767021554026195	0.016	0.237643256464329	0.98934496256917
TCGA-44-2665-11A-01R-1758-07	0.033480086460366	0	0.0195600965224453	0.0632638329649926	0	0.0851528711739097	0.00431833975917739	0.00537921515276796	0	0	0.0227930223382884	0.0304393575596956	0.103976420577129	0.112914589063024	0.0195675252805277	0.311758703107057	0.0127887312163823	0	0.133017968909367	0	0.00251081539298038	0.0390784245218892	0.016	0.238153548640222	0.987223139091977
TCGA-38-4627-11A-01R-1758-07	0	0	0.0354095037426589	0.0676505291806092	0	0.178901922415709	0	0	0	0.0217459664255263	0.0346741315445249	0	0.119445661868246	0.129244962362416	0.0247541199061815	0.182191869659975	0.0135036729224438	0.0550835625175092	0.130065435081487	0	0	0.00732866237271347	0.039	0.163288330661434	1.01197659951545
TCGA-44-3398-11B-01R-1758-07	0.0173239417706335	0	0.00486801452833495	0.112078328049475	0	0.202151792488427	0	0.0115826083899594	0	0	0.0785929092586717	0.0435830492815296	0.0504190215923413	0.136770943798387	0.0556809456285177	0.11217145568073	0.0228491776451495	0	0.118350541134799	0	0	0.0335772707530439	0.038	0.166207208253479	1.01821670893667
TCGA-38-4625-11A-01R-1758-07	0.036820447056907	0	0.0393508897459156	0.0599578252420314	0	0.116497622866887	0	0	0	0	0.0204106052422954	0.00669267885236783	0.0796734142019948	0.246405240939751	0.00330830295538611	0.1736850017169	0.0048039905912036	0.0366609456129631	0.0911135687959463	0	0.0413954434911423	0.0432240226883079	0.015	0.25054722539439	0.983673977296668
TCGA-55-6985-11A-01R-1949-07	0.0646907170578117	0	0.0573626809807091	0.0850901856044081	0	0.187230583692663	0.0131981090054065	0	0.0134591133127564	0	0.022616923001994	0.00158257227669374	0.0284208267305308	0.269018556973006	0.00634899633184897	0.136004506803033	0.021373895963419	0.01991317947729	0.0264179344861801	0.0116485211319751	0.0209522342441858	0.0146704629260891	0.016	0.241193023551594	0.989056137099802
TCGA-50-5932-11A-01R-1755-07	0.0147062658888549	0	0.029055820929809	0.137058970660822	0	0.201545694300155	0	0	0	0	0.0488153531027547	0.0488321775153787	0.0560009421922841	0.0712950269766677	0.0091440231049192	0.168764004383863	0.00906852490507567	0.0370999188973286	0.141384206223035	0	0	0.0272290709190522	0.043	0.159237457261589	1.01736234420353
TCGA-91-6831-11A-02R-1858-07	0.0261642161026958	0	0	0.101380566840996	0	0.25817383564346	0.0157725850984908	0.0287474729690814	0	0	0.0301585062517483	0	0.063103322941736	0.153471796085874	0.0488785952935215	0.142032904010765	0.00472853315413881	0.0114416134434409	0.0188174919137964	0.0263985950403719	0.0231061646076259	0.0476238006022572	0.023	0.210689514563526	1.00078557860047
TCGA-50-5939-11A-01R-1628-07	0.00870231134582644	0.0172726073492682	0.025725344190534	0.0611968980258446	0	0.197031099951102	0.0160979258141784	0	0	0	0.0267473842189933	0	0.102586618085251	0.177073454723097	0.0138830039583917	0.172816098578592	0.0101370917757985	0	0.0687510737652259	0	0.0612346207271935	0.0407444674907025	0.045	0.157545157487962	1.01802034327278
