gene	lowMean	highMean	logFC	pValue	fdr
SUSD2	181.899111788618	77.590817816092	-1.22918066085599	7.34636401581238e-13	1.3142584760387e-11
LGI3	5.99993346883469	1.61539406130268	-1.89306036253532	7.73579874698297e-05	0.00025347240326227
NKAIN1	0.551753861788618	1.90350798212005	1.78656389243103	2.19808876246886e-10	2.35650835330278e-09
ADH1C	74.3685851626016	17.9764496807152	-2.04858520653306	6.58720256205021e-07	3.45639304017776e-06
ADH1B	22.0206611111111	7.87183071519796	-1.48408668182188	1.08589983457136e-13	2.31689720532041e-12
AC011944.1	1.4549487804878	0.668182439335888	-1.12265439342486	0.0104811923684558	0.0194366486184364
DLGAP5	10.184158401084	22.666438633461	1.15423096790514	6.18535538436352e-27	3.36116077433429e-24
IL36RN	2.07170819783198	4.59576998722861	1.14948578233871	1.54243450586291e-07	9.19800878684847e-07
HES2	1.5880243902439	4.03196002554278	1.34424826465378	1.70626211220007e-06	8.21888971441746e-06
TRIM15	1.0335472899729	3.46663735632184	1.74593252381998	2.40208530455577e-12	3.92205270994557e-11
IGKV1-8	65.1793520325203	30.9533791187739	-1.07431809570152	0.000181137105076588	0.000540273447887858
SLC6A4	2.08253719512195	0.920138952745849	-1.1784186149222	0.00030844652474457	0.000872983553404293
ARHGEF4	2.04598319783198	4.36827056194125	1.0942679193408	2.22720823626471e-08	1.58465319232435e-07
TMEM45A	12.5574155826558	25.2159069604087	1.00579454026719	2.83660401039821e-06	1.30422350821128e-05
KYNU	4.10299424119241	12.2304914431673	1.57573334068204	5.87465968076429e-07	3.11351591553826e-06
WFDC12	18.4893066395664	0.519772924648787	-5.15266582884581	9.07695156623095e-09	6.95632925452578e-08
LAMC2	71.8938403116531	243.703361813538	1.76118607824597	1.54131858060557e-25	4.46699813302504e-23
ANLN	13.0905132791328	41.3447213920817	1.65918148135801	2.96387218973118e-39	5.15387735072355e-35
PICSAR	0.64474810298103	3.32375140485313	2.36600495352429	0.00486680685465834	0.00995282893045441
AL008733.1	3.01948902439024	1.09013352490421	-1.46979957471061	1.78972783974391e-21	1.70063264509874e-19
MET	88.4935994579946	192.376001340996	1.12028381876938	1.78073057298757e-10	1.93411142621367e-09
RPL21P7	1.59683421409214	0.785292337164751	-1.02391281304276	1.25274980350514e-12	2.14621343183752e-11
DEPDC1	3.55025088075881	7.88941028097063	1.15199648825453	1.87142807061282e-24	3.69798439998708e-22
PADI1	2.18420826558266	5.06481162196679	1.21339818649355	2.27964544583339e-13	4.54595810293541e-12
LINC01108	1.72079369918699	0.388940932311622	-2.14545116962546	4.36507210322755e-07	2.3734908944035e-06
L1CAM	1.0286289295393	4.61098863346105	2.16435347510866	9.20128264768617e-06	3.75413195590368e-05
C1QL1	0.980526016260163	2.15189770114943	1.13398168037725	3.16091811486424e-13	6.12767057964039e-12
CD274	8.96521443089431	18.3413545338442	1.03269019270477	3.31718185382708e-07	1.85533854153101e-06
SMOX	10.6120876693767	22.8454991698595	1.10620146627677	4.20124913192865e-19	2.70062840406847e-17
ERO1A	61.7877034552846	128.654239719029	1.05810734394804	1.81773995405543e-31	6.32173601221397e-28
ATP5MC1P2	1.50639593495935	0.743997126436782	-1.01773205763674	6.08932038792385e-05	0.000204890077835928
NTSR1	0.215481029810298	4.01183844189017	4.21863073906034	1.42307388873881e-09	1.2808401579337e-08
AKR1B15	2.53658197831978	5.23667260536398	1.04576462405533	0.000290319993555913	0.000826112644075237
GJB4	0.542912127371274	2.22989808429119	2.03818715869855	1.4798221466133e-08	1.09547157545588e-07
ANKRD45	1.50822215447154	0.72637190293742	-1.05406864347955	1.22261934382193e-07	7.41039561973855e-07
ANO3	0.591679945799458	1.75855459770115	1.57150122408376	0.0132539095076492	0.0239179087543767
SKA1	4.33966741192412	9.9975058109834	1.20398373449275	1.68273051170474e-24	3.44247069035691e-22
EPHX1	726.64275799458	338.507335568327	-1.10205916323478	7.2877964221104e-15	2.00201409137564e-13
CLMP	8.29883848238482	17.662612899106	1.08971744828363	2.86185023925379e-08	1.98344813911455e-07
KIF15	3.64282059620596	7.4242466155811	1.0271886879867	1.48160888042747e-22	1.82721254054988e-20
ORC1	5.30590467479675	11.3332804597701	1.09489485336227	3.64777190157161e-26	1.34959799141338e-23
AP000357.2	7.13063536585366	2.32071379310345	-1.61946202157354	1.27796008023057e-10	1.43278193650093e-09
SCTR-AS1	3.14560155826558	1.56402203065134	-1.00807510703203	1.04539837769802e-09	9.67967645888758e-09
CDC25A	2.91198245257453	6.2712788633461	1.1067580109873	2.50022143492937e-23	3.64520546263173e-21
AL022313.2	3.45546646341463	1.60990204342273	-1.10190756897719	1.61068145910787e-05	6.18554326246174e-05
AC106738.2	1.57258319783198	0.537802426564496	-1.54798817541845	8.42354941421364e-13	1.49221870704371e-11
BTBD16	0.83952581300813	2.13712490421456	1.34802463905255	0.000380995141277895	0.00105428461357118
CIBAR2	9.09528970189702	3.9544843550447	-1.20163000437567	0.00783396302943306	0.0151142553110853
PIMREG	5.47451808943089	11.1007950191571	1.01985912558512	3.05716946718149e-21	2.858124723915e-19
MPHOSPH6P1	1.60227987804878	0.622791762452107	-1.36330440494105	5.96573791659893e-05	0.000201277098625803
PTPRZ1	4.9996635501355	2.17641181353768	-1.19987944824746	5.82097518767851e-05	0.000196889588676408
GPC6	5.70014383468835	13.5463658365262	1.24883563405529	4.28556843936669e-13	8.09139517830047e-12
SLC16A1	10.7663798102981	25.8792924010217	1.26526494533845	3.83143559294201e-13	7.2893690947121e-12
MS4A15	52.540891598916	16.2632005108557	-1.69182948264558	9.25684816754692e-09	7.07982089592344e-08
MAGEA6	9.6013216802168	20.7802670498084	1.11390927426819	0.000267170053852581	0.000765878678938762
AC009549.1	0.954596951219512	2.18375932311622	1.19385022860049	8.85767127821705e-06	3.6267022805961e-05
PSCA	32.1615386856369	97.9735844189017	1.60705639287412	0.000810744358122371	0.00206625834958102
AL136296.1	2.47726077235772	1.13907637292465	-1.12088126363813	0.000157037082789387	0.000475734814046106
AC002563.1	3.06893231707317	0.835367560664112	-1.87725380225753	2.12706378954869e-11	2.81273857311499e-10
RAP1GAP	80.1768413279133	39.2840429757344	-1.02924216733989	5.47880885647043e-13	1.01568237958597e-11
AZU1	2.38965291327913	1.14866475095785	-1.05684329346516	0.0058206318772764	0.0116463498933293
KCP	0.843590176151762	2.12240070242656	1.33108285840474	1.83141384540653e-13	3.7247316207923e-12
BMPR1B	2.76162913279133	5.62395836526181	1.02606632514048	6.99129460094407e-05	0.000231520894716847
TESMIN	1.95207953929539	4.58574361430396	1.23214385906076	3.24468128927867e-18	1.76318009185209e-16
CCNB1	37.8872105691057	78.2844780332056	1.04701535754491	9.29799670810432e-28	5.98825425026763e-25
TPX2	32.5177110433604	79.7103459131545	1.29354128118921	3.35527282110786e-28	2.43103496192686e-25
AL355916.1	1.27911260162602	4.81066162196679	1.91109205322098	3.59942834548485e-07	1.99714293234321e-06
MT2P1	3.32240792682927	6.65715491698595	1.00267652228147	1.12076679947381e-07	6.84065071114429e-07
GKN2	59.6085116531165	7.28895683269476	-3.03173409003776	7.45456408798408e-12	1.09022216085749e-10
COL17A1	16.2544105691057	47.6488698595147	1.55161075578633	1.3569929612805e-06	6.69601322466135e-06
GSTA2	28.447987804878	8.91380140485313	-1.67421388694445	2.03442880001154e-11	2.70051010712982e-10
